قالب إدخال البيانات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
جدول:,Employee Employment Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الملاحظات :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
من فضلك لا تغيير عناوين القالب.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
يجب أن يكون عمود البيانات الأول فارغ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"إذا كنت ترفع سجلات جديدة، اترك ""اسم"" (الهوية) للعمود فارغا.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"إذا كنت تقوم بتحميل سجلات جديدة، ""تسمية السلسلة"" تصبح إلزامية، إذا كانت موجودة.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الحقول الإلزامية ضرورية فقط للسجلات الجديدة . يمكنك حذف الأعمدة غير الإلزامية إذا كنت ترغب في ذلك.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"بالنسبة للتحديث، يمكنك تحديث الأعمدة المنتقاة فقط.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
يمكنك تحميل فقط حتى 5000 دفعة واحدة. (قد يكون أقل في بعض الحالات),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCTYPE:,Employee Employment Detail,,,,,,,,,,,,,,,,,,,,,,,,,,~,Responsible Of Staff,responsible_of_staff
تسميات العمود:,ID,رقم الموظف,حالة الموظف,تاريخ التعيين,نوع العقد,جداول العمل,قائمة العُطَل,تاريخ تعديل جدول العمل,القسم,المسمى الوظيفي,المسمى الوظيفي -إنجليزي,تاريخ الالتحاق بالعمل,تاريخ انتهاء العقد,تاريخ التقاعد,فترة السماحية بالدقيقة,عدد ساعات الدوام الرسمية,جدول عمل خاص,ساعة البداية,ساعة النهاية,مجموع ساعات العمل,الفرع,القسم,الدائرة,صنف قسم الموظف,المسئول المباشر,اسم المشرف,,رقم الموظف,اسم الموظف
اسم العمود:,name,employee,status,scheduled_confirmation_date,employment_type,work_shift,holiday_list,shift_change_date,department,designation,designation_name_en,date_of_joining,contract_end_date,date_of_retirement,morning_delay_in_minutes,work_hrs,private_work_shift,start_work,end_work,total_work_hrs,branch,management,circle,sub_dep,supervisor,supervisor_name,~,employee,employee_name
إلزامي:,نعم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No
النوع:,Data (text),Link,Select,Date,Link,Link,Data,Date,Dynamic Link,Link,Data,Date,Date,Date,Float,Float,Link,Time,Time,Float,Link,Link,Link,Link,Read Only,Data,,Link,Data
معلومات:,,Valid Employee,"One of: Active, Left, Stopped",dd-mm-yyyy,Valid Employment Type,Valid Work Shift,,dd-mm-yyyy,,Valid Designation,,dd-mm-yyyy,dd-mm-yyyy,dd-mm-yyyy,,,Valid Private Work Shift,,,,Valid Branch,Valid Management,Valid Circle,Valid DocType,,,,Valid Employee,
البدء في إدخال البيانات تحت هذا الخط,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"""EMP-0004""",EMP-0004,Active,02-12-2017,Full time,دوام كامل,عطل نيولاين2018,20-05-2019,iOs,Team Leader,,01-12-2017,,,60.0,0.0,EMP-0002Monday,8:00:00,16:00:00,8.0,,,,Department,EMP-0002,,,EMP-0012,محمود البلبيسي 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1437,,,Active,1-3-2015,Full time,دوام كامل,,,التدقيق اللغوي,مدقق لغوي,,,,,,,,,,,,,,,,,,,
675,,,Active,1-2-2007,Full time,دوام كامل,,,الرياضة,صحفي رياضي,,,,,,,,,,,,,,,,,,,
1438,,,Active,1-3-2015,Full time,دوام كامل,,, الحاسوب,مهندس شبكات,,,,,,,,,,,,,,,,,,,
1676,,,Active,15-1-2019,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
623,,,Active,1-1-2007,Full time,دوام كامل,,,قسم الأمن,موظف أمن,,,,,,,,,,,,,,,,,,,
670,,,Active,14-3-2007,Full time,دوام كامل,,, المالية,موظف تحصيل,,,,,,,,,,,,,,,,,,,
731,,,Active,7-2-2010,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
632,,,Active,1-1-2007,Full time,دوام كامل,,,قسم الأمن,قائم بأعمال رئيس شعبة الأمن,,,,,,,,,,,,,,,,,,,
690,,,Active,23-8-2007,Full time,دوام كامل,,, الخدمات الادارية,موظف خدمات,,,,,,,,,,,,,,,,,,,
730,,,Active,4-2-2010,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
874,,,Active,20-10-2010,Full time,دوام كامل,,,الأسرة والمجتمع,قائم بأعمال رئيس قسم الأسرة والمجتمع,,,,,,,,,,,,,,,,,,,
1613,,,Active,12-8-2017,Full time,دوام كامل,,,الإخراج ,مخرج صحفي,,,,,,,,,,,,,,,,,,,
719,,,Active,1-2-2007,Part time,دوام جزئي,,,الأسرة والمجتمع,محرر الصفحة الدينية,,,,,,,,,,,,,,,,,,,
676,,,Active,15-3-2007,Full time,دوام كامل,,,غرفة الأخبار,رئيس غرفة الأخبار,,,,,,,,,,,,,,,,,,,
959,,,Active,1-4-2012,Full time,دوام كامل,,,الإعلانات والتسويق,موظف إعلانات,,,,,,,,,,,,,,,,,,,
188,,,Active,1-1-2013,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
1103,,,Active,20-2-2006,Full time,دوام كامل,,,السكرتاريا والاستقبال والسائقين,سائق,,,,,,,,,,,,,,,,,,,
909,,,Active,13-3-2011,Full time,دوام كامل,,, الخدمات الادارية,موظف خدمات,,,,,,,,,,,,,,,,,,,
727,,,Active,3-2-2010,Full time,دوام كامل,,,الإعلام الجديد,صحفي,,,,,,,,,,,,,,,,,,,
698,,,Active,1-3-2008,Full time,دوام كامل,,,السكرتاريا والاستقبال والسائقين,سكرتير,,,,,,,,,,,,,,,,,,,
270,,,Active,1-1-2007,Full time,دوام كامل,,,قسم الأمن,موظف أمن,,,,,,,,,,,,,,,,,,,
725,,,Active,20-10-2009,Full time,دوام كامل,,, المالية,مساعد محاسب,,,,,,,,,,,,,,,,,,,
1145,,,Active,1-6-2010,Part time,دوام كامل,,,الرياضة,رئيس قسم الرياضة,,,,,,,,,,,,,,,,,,,
1657,,,Active,15-8-2018,Part time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
692,,,Active,15-3-2007,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
708,,,Active,1-4-2009,Full time,دوام كامل,,,الإعلانات والتسويق,موظف إعلانات,,,,,,,,,,,,,,,,,,,
1436,,,Active,1-3-2015,Full time,دوام كامل,,,الإعلام الجديد,صحفي,,,,,,,,,,,,,,,,,,,
1019,,,Active,1-5-2013,Full time,دوام كامل,,,التصوير,مصور صحفي,,,,,,,,,,,,,,,,,,,
700,,,Active,24-8-2008,Full time,دوام كامل,,,الإعلانات والتسويق,رئيس شعبة الإعلانات والتسويق,,,,,,,,,,,,,,,,,,,
683,,,Active,21-2-2007,Full time,دوام كامل,,,الإعلام الجديد,صحفي,,,,,,,,,,,,,,,,,,,
694,,,Active,1-4-2008,Full time,دوام كامل,,, المالية,سائق (تحصيل),,,,,,,,,,,,,,,,,,,
462,,,Active,1-1-2010,Full time,دوام كامل,,,قسم الأمن,موظف أمن,,,,,,,,,,,,,,,,,,,
673,,,Active,15-2-2007,Full time,دوام كامل,,,إدارة التحرير,سكرتير التحرير,,,,,,,,,,,,,,,,,,,
709,,,Active,1-4-2009,Full time,دوام كامل,,, المالية,قائم بأعمال رئيس شعبة الإيرادات والتحصيل,,,,,,,,,,,,,,,,,,,
1645,,,Active,1-1-2018,Full time,دوام كامل,,,الإخراج ,مخرج صحفي,,,,,,,,,,,,,,,,,,,
912,,,Active,20-3-2011,Full time,دوام كامل,,,التدقيق اللغوي,مدقق لغوي,,,,,,,,,,,,,,,,,,,
723,,,Active,1-9-2009,Full time,دوام كامل,,,الأسرة والمجتمع,صحفي,,,,,,,,,,,,,,,,,,,
933,,,Active,1-8-2011,Full time,دوام كامل,,,شؤون الموظفين,شؤون الموظفين,,,,,,,,,,,,,,,,,,,
685,,,Active,15-2-2007,Part time,دوام كامل,,,التدقيق اللغوي,مدقق لغوي,,,,,,,,,,,,,,,,,,,
981,,,Active,1-1-2007,Full time,دوام كامل,,,قسم الأمن,موظف أمن,,,,,,,,,,,,,,,,,,,
1658,,,Active,15-8-2018,Part time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
924,,,Active,1-10-2010,Full time,دوام كامل,,,الإخراج ,مخرج صحفي,,,,,,,,,,,,,,,,,,,
1522,,,Active,15-5-2016,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
701,,,Active,1-1-2009,Full time,دوام كامل,,, المالية,رئيس قسم الشئون المالية,,,,,,,,,,,,,,,,,,,
451,,,Active,1-1-2007,Full time,دوام كامل,,,الإخراج ,مخرج صحفي,,,,,,,,,,,,,,,,,,,
732,,,Active,20-1-2011,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
687,,,Active,15-2-2007,Full time,دوام كامل,,,السكرتاريا والاستقبال والسائقين,رئيس شعبة السكرتاريا والاستقبال والسائقين,,,,,,,,,,,,,,,,,,,
688,,,Active,12-4-2007,Full time,دوام كامل,,,الرياضة,صحفي رياضي,,,,,,,,,,,,,,,,,,,
890,,,Active,1-3-2010,Full time,دوام كامل,,,غرفة الأخبار,رئيس غرفة الأخبار,,,,,,,,,,,,,,,,,,,
1106,,,Active,1-1-2010,Full time,دوام كامل,,,السكرتاريا والاستقبال والسائقين,موظف استقبال,,,,,,,,,,,,,,,,,,,
691,,,Active,3-2-2007,Full time,دوام كامل,,, المالية,موظف توزيع,,,,,,,,,,,,,,,,,,,
187,,,Active,27-12-2007,Full time,دوام كامل,,,مركز التدريب,إداري مركز التدريب,,,,,,,,,,,,,,,,,,,
714,,,Active,1-9-2008,Full time,دوام كامل,,,الإعلام الجديد,صحفي,,,,,,,,,,,,,,,,,,,
921,,,Active,1-11-2010,Full time,دوام كامل,,,السكرتاريا والاستقبال والسائقين,سائق,,,,,,,,,,,,,,,,,,,
946,,,Active,8-2-2012,Full time,دوام كامل,,,السكرتاريا والاستقبال والسائقين,موظف استقبال,,,,,,,,,,,,,,,,,,,
721,,,Active,1-7-2011,Full time,دوام كامل,,,الإعلام الجديد,صحفي,,,,,,,,,,,,,,,,,,,
947,,,Active,8-2-2012,Full time,دوام كامل,,,غرفة الأخبار,صحفي,,,,,,,,,,,,,,,,,,,
671,,,Active,1-2-2007,Full time,دوام كامل,,, الحاسوب,رئيس شعبة الحاسوب,,,,,,,,,,,,,,,,,,,
693,,,Active,15-4-2007,Full time,دوام كامل,,, الحاسوب,فني حاسوب وصيانة,,,,,,,,,,,,,,,,,,,
